method,symbol,phase,n,BA,MCC,Brier,pred_up,constant
T_A1_interaction_temperature,AAPL,train_forward_oof,383,0.4214390395129925,-0.15499603288764577,0.25350657651106995,0.5378590078328982,0
T_A1_interaction_temperature,AMZN,development,126,0.5064935064935064,0.012824880070183379,0.24856221945229995,0.42063492063492064,0
T_A1_interaction_temperature,AMZN,later,179,0.4900500625782228,-0.0199123395330595,0.2478747422839075,0.5307262569832403,0
T_A1_interaction_temperature,AMZN,train_forward_oof,382,0.5288824063626607,0.05847724589544079,0.2548911012510878,0.5837696335078534,0
T_mix_temperature,AAPL,development,126,0.5043103448275862,0.009976261268042172,0.24984950192900704,0.753968253968254,0
T_mix_temperature,AAPL,later,178,0.5019578123026399,0.005300163149005918,0.24995584478375338,0.8370786516853933,0
T_mix_temperature,AAPL,train_forward_oof,383,0.5026633222479003,0.005266866462625027,0.26176686468995924,0.5509138381201044,0
T_mix_temperature,AMZN,development,126,0.5231910946196661,0.04559152581164996,0.2497829754727427,0.5634920634920635,0
T_mix_temperature,AMZN,later,179,0.5172090112640801,0.03453057075782532,0.24960671563606013,0.547486033519553,0
T_mix_temperature,AMZN,train_forward_oof,382,0.49815614937942043,-0.0037773869666751555,0.2686060506292842,0.612565445026178,0
T_original_temperature,AAPL,development,126,0.4969574036511156,-0.0071210911486985625,0.25001438466227316,0.7619047619047619,0
T_original_temperature,AAPL,later,178,0.5211570039156246,0.04577523516318793,0.24996986521774262,0.6910112359550562,0
T_original_temperature,AAPL,train_forward_oof,383,0.5019587396426357,0.0038908145883661993,0.2570318874622445,0.5691906005221932,0
T_original_temperature,AMZN,development,126,0.5166975881261595,0.03289758474798845,0.24999556554725755,0.5714285714285714,0
T_original_temperature,AMZN,later,179,0.48360450563204005,-0.03289821650381903,0.24980672712395308,0.547486033519553,0
T_original_temperature,AMZN,train_forward_oof,382,0.548917081762391,0.09963263447600926,0.26723201540021846,0.599476439790576,0
T_original_interaction_temperature,AAPL,development,126,0.48073022312373226,-0.04051369561259254,0.24989262877818536,0.6587301587301587,0
T_original_interaction_temperature,AAPL,later,178,0.5016420361247947,0.003318838683576153,0.2500491025649397,0.5730337078651685,0
T_original_interaction_temperature,AAPL,train_forward_oof,383,0.4859365311989178,-0.027700829411968653,0.2530928379288442,0.5248041775456919,0
T_original_interaction_temperature,AMZN,development,126,0.4823747680890538,-0.03443854790293075,0.25933832254976324,0.5317460317460317,0
T_original_interaction_temperature,AMZN,later,179,0.47828535669586986,-0.04352745666432122,0.25413576398391363,0.5418994413407822,0
T_original_interaction_temperature,AMZN,train_forward_oof,382,0.5816247901587913,0.16343183758127247,0.25136215894686026,0.5392670157068062,0
