method,symbol,phase,original_news,n,BA,MCC,Brier,pred_up,constant
P_own_hgb,AAPL,development,1,124,0.5667016806722689,0.1568391358747329,0.26165386622500664,0.7661290322580645,0
P_own_hgb,AAPL,later,1,178,0.4599595806492358,-0.0890674355972493,0.2950189228438794,0.7191011235955056,0
P_own_hgb,AAPL,train_forward_oof,0,4,1.0,1.0,0.09887024851972377,0.25,0
P_own_hgb,AAPL,train_forward_oof,1,379,0.5313708513708514,0.062031466960447694,0.2694063092280047,0.5567282321899736,0
P_own_hgb,AMZN,development,0,53,0.5828445747800586,0.1656891495601173,0.24651254175938858,0.5849056603773585,0
P_own_hgb,AMZN,development,1,73,0.5301932367149759,0.06643956572707499,0.2871869505855423,0.7397260273972602,0
P_own_hgb,AMZN,later,0,95,0.5702570921985816,0.14983693497805975,0.24782703884115453,0.6736842105263158,0
P_own_hgb,AMZN,later,1,84,0.4580218516388729,-0.08373988316725563,0.29375058129387094,0.5476190476190477,0
P_own_hgb,AMZN,train_forward_oof,0,184,0.45687134502923976,-0.08885552245379051,0.2789348957432061,0.6467391304347826,0
P_own_hgb,AMZN,train_forward_oof,1,198,0.41200817577925397,-0.17789373905559633,0.30427776294434267,0.5757575757575758,0
P_own_lr,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
P_own_lr,AAPL,development,1,124,0.5472689075630253,0.10645752491259383,0.24904107152264188,0.7338709677419355,0
P_own_lr,AAPL,later,1,178,0.5318933939623595,0.06773475575686679,0.2709271728279034,0.6685393258426966,0
