stage,symbol,seed,method,month,n,BA,Brier,MCC,accuracy,predicted_up,constant
aggregation,AAPL,574,SET_BASE,2018-06,63,0.7037037037037037,0.21525933396580105,0.4462924542634687,0.7301587301587301,0.7142857142857143,False
aggregation,AAPL,574,SET_BASE,2018-07,60,0.663003663003663,0.1962681584980047,0.37744067947213417,0.7333333333333333,0.7833333333333333,False
aggregation,AAPL,574,SET_BASE,2018-08,69,0.6715686274509804,0.18973398491322158,0.34967378995641923,0.7536231884057971,0.7536231884057971,False
aggregation,AAPL,574,SET_BASE,2018-09,57,0.5646551724137931,0.2434214807277787,0.13907296967065538,0.5614035087719298,0.6842105263157895,False
aggregation,AAPL,574,SET_BASE,2018-10,69,0.573076923076923,0.24589048724761953,0.1456567227878626,0.5652173913043478,0.5507246376811594,False
aggregation,AAPL,574,SET_BASE,2018-11,60,0.5628476084538376,0.24298859360609398,0.12919146336922627,0.5666666666666667,0.6166666666666667,False
aggregation,AAPL,574,SET_BASE,2018-12,53,0.6424148606811146,0.21725220527455721,0.27926526882695474,0.660377358490566,0.39622641509433965,False
aggregation,AAPL,574,SET_BASE,2019-01,63,0.6860706860706861,0.2246638400125369,0.37448436300234883,0.6984126984126984,0.6031746031746031,False
aggregation,AAPL,574,SET_BASE,2019-02,2,,0.26114454031230594,,,0.5,False
aggregation,AAPL,574,MEAN_LINEAR,2018-01,59,0.5972222222222222,0.2283159942589062,0.20464687117164015,0.6101694915254238,0.6610169491525424,False
aggregation,AAPL,574,MEAN_LINEAR,2018-02,57,0.719375,0.20943686787657695,0.436033255612459,0.7192982456140351,0.5263157894736842,False
aggregation,AAPL,574,MEAN_LINEAR,2018-03,62,0.6427083333333333,0.22393653776020905,0.28905269435512987,0.6451612903225806,0.5806451612903226,False
aggregation,AAPL,574,MEAN_LINEAR,2018-04,63,0.6844758064516129,0.2191341972410291,0.3798283045573724,0.6825396825396826,0.6190476190476191,False
aggregation,AAPL,574,MEAN_LINEAR,2018-05,66,0.6099720410065238,0.224083791522598,0.223406329009324,0.6212121212121212,0.6060606060606061,False
aggregation,AAPL,574,MEAN_LINEAR,2018-06,63,0.7037037037037037,0.2125344432672033,0.4120977570959453,0.7142857142857143,0.6031746031746031,False
aggregation,AAPL,574,MEAN_LINEAR,2018-07,60,0.6263736263736264,0.19393594860793933,0.29262254925367703,0.7,0.7833333333333333,False
aggregation,AAPL,574,MEAN_LINEAR,2018-08,69,0.6911764705882353,0.17821657613141456,0.4070457892053472,0.782608695652174,0.782608695652174,False
aggregation,AAPL,574,MEAN_LINEAR,2018-09,57,0.6157635467980296,0.23516628958313934,0.2359263550512071,0.6140350877192983,0.5964912280701754,False
aggregation,AAPL,574,MEAN_LINEAR,2018-10,69,0.6115384615384616,0.24782931817924575,0.22119438373870084,0.6086956521739131,0.5072463768115942,False
aggregation,AAPL,574,MEAN_LINEAR,2018-11,60,0.5800889877641824,0.2486579044804967,0.16339011369947531,0.5833333333333334,0.6,False
