stage,symbol,seed,block,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AAPL,573,573_AAPL_6,FREQUENCY,80,0.7061596480201131,0.2110407136107686,0.4196363894498585,0.7125,0.6,False
preprocess,AAPL,573,573_AAPL_6,NEGATION,80,0.7196731615336267,0.20689382714919743,0.44497558943473,0.725,0.5875,False
preprocess,AAPL,573,573_AAPL_6,NUMERIC,80,0.7331866750471401,0.20587269379927245,0.47038172571179204,0.7375,0.575,False
preprocess,AAPL,573,573_AAPL_6,NO_STEM,80,0.7080452545568825,0.2181676122491023,0.4196667148533778,0.7125,0.575,False
preprocess,AAPL,573,573_AAPL_7,PRICE,80,0.5650534255185418,0.24688732665613805,0.1349432509493996,0.575,0.6375,False
preprocess,AAPL,573,573_AAPL_7,FULL,80,0.6269641734758014,0.23019533960046648,0.26543952272708393,0.6375,0.65,False
preprocess,AAPL,573,573_AAPL_7,CONTROL,80,0.7061596480201131,0.1994067988722617,0.4196363894498585,0.7125,0.6,False
preprocess,AAPL,573,573_AAPL_7,FREQUENCY,80,0.7467001885606537,0.20222022403001283,0.49590020504016114,0.75,0.5625,False
preprocess,AAPL,573,573_AAPL_7,NEGATION,80,0.7042740414833438,0.19968217628731483,0.4207582472381236,0.7125,0.625,False
preprocess,AAPL,573,573_AAPL_7,NUMERIC,80,0.6810182275298555,0.19927514578371266,0.3684612200047538,0.6875,0.6,False
