symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage
AAPL,frozen,test,no_semantic,178,0.5134520651762031,0.03749116408063767,0.26543616855441077,0.5056179775280899,0.8620689655172413,0.16483516483516483,0.848314606741573,1.0
AAPL,frozen,test,no_body,178,0.5346722243273967,0.08542433440459914,0.2710023460573566,0.5280898876404494,0.8275862068965517,0.24175824175824176,0.7921348314606742,1.0
AAPL,frozen,test,no_title,178,0.5569028672476948,0.13753231867191915,0.26303161220456067,0.550561797752809,0.8390804597701149,0.27472527472527475,0.7808988764044944,1.0
AAPL,frozen,test,uniform,178,0.5346722243273967,0.08542433440459914,0.26626899954776373,0.5280898876404494,0.8275862068965517,0.24175824175824176,0.7921348314606742,1.0
AAPL,frozen,validation,price,126,0.4959432048681542,-0.011300894898119541,0.2615228263904922,0.46825396825396826,0.8448275862068966,0.14705882352941177,0.8492063492063492,1.0
AAPL,frozen,validation,title,126,0.513184584178499,0.03847044203651039,0.2596417182572782,0.48412698412698413,0.8793103448275862,0.14705882352941177,0.8650793650793651,1.0
AAPL,frozen,validation,body,126,0.5879817444219066,0.2199177715434481,0.24959625894706178,0.5634920634920635,0.896551724137931,0.27941176470588236,0.8015873015873016,1.0
AAPL,frozen,validation,semantic,126,0.532707910750507,0.08303200901423632,0.2867019098571284,0.5079365079365079,0.8448275862068966,0.22058823529411764,0.8095238095238095,1.0
AAPL,frozen,validation,integrated,126,0.5352434077079107,0.09614095068630828,0.2528756094154878,0.5079365079365079,0.8793103448275862,0.19117647058823528,0.8412698412698413,1.0
AAPL,frozen,validation,multi_only,126,0.5352434077079107,0.09614095068630828,0.2528756094154878,0.5079365079365079,0.8793103448275862,0.19117647058823528,0.8412698412698413,1.0
AAPL,frozen,validation,no_semantic,126,0.5144523326572008,0.04448660658749712,0.2555645606771211,0.48412698412698413,0.896551724137931,0.1323529411764706,0.8809523809523809,1.0
AAPL,frozen,validation,no_body,126,0.5058316430020284,0.017459549942565503,0.26098457213164183,0.47619047619047616,0.8793103448275862,0.1323529411764706,0.873015873015873,1.0
AAPL,frozen,validation,no_title,126,0.5352434077079107,0.09614095068630828,0.2528756094154878,0.5079365079365079,0.8793103448275862,0.19117647058823528,0.8412698412698413,1.0
AAPL,frozen,validation,uniform,126,0.5377789046653144,0.11310751919314173,0.25620658840885957,0.5079365079365079,0.9137931034482759,0.16176470588235295,0.873015873015873,1.0
AAPL,outer,all,price,192,0.5263347763347763,0.05009974174016351,0.25359548725862835,0.515625,0.49206349206349204,0.5606060606060606,0.4739583333333333,1.0
AAPL,outer,all,title,192,0.527056277056277,0.051405265158515547,0.24701071491182833,0.5260416666666666,0.5238095238095238,0.5303030303030303,0.5052083333333334,1.0
AAPL,outer,all,body,192,0.487012987012987,-0.02522671612121095,0.25283771342494515,0.5208333333333334,0.5952380952380952,0.3787878787878788,0.6041666666666666,1.0
AAPL,outer,all,semantic,192,0.5003607503607503,0.000685701245759728,0.25391632921757123,0.5052083333333334,0.5158730158730159,0.48484848484848486,0.515625,1.0
AAPL,outer,all,integrated,192,0.5093795093795094,0.018012089209605342,0.24831718274877831,0.53125,0.5793650793650794,0.4393939393939394,0.5729166666666666,1.0
AAPL,outer,all,multi_only,192,0.516955266955267,0.032511692062828244,0.24865729838822406,0.5364583333333334,0.5793650793650794,0.45454545454545453,0.5677083333333334,1.0
AAPL,outer,all,no_semantic,192,0.5288600288600288,0.055607067440108786,0.24754257575094832,0.5520833333333334,0.6031746031746031,0.45454545454545453,0.5833333333333334,1.0
AAPL,outer,all,no_body,192,0.5191197691197691,0.03632638737868432,0.25292834796428937,0.515625,0.5079365079365079,0.5303030303030303,0.4947916666666667,1.0
AAPL,outer,all,no_title,192,0.5256132756132756,0.04986878603123555,0.24623320988630984,0.5572916666666666,0.626984126984127,0.42424242424242425,0.609375,1.0
