symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage,news_coverage,dates
AAPL,forward,2018-04,gate_cal,63,0.5257056451612903,0.052926894897338775,0.27305453786518014,0.5238095238095238,0.6451612903225806,0.40625,0.6190476190476191,1.0,0.9523809523809523,21
AAPL,forward,2018-04,selected_system,63,0.4949596774193548,-0.010826670965770146,0.2896523790577809,0.49206349206349204,0.6774193548387096,0.3125,0.6825396825396826,1.0,0.9523809523809523,21
AAPL,forward,2018-04,constant,63,0.5,0.0,0.25,0.49206349206349204,1.0,0.0,1.0,1.0,0.9523809523809523,21
AAPL,forward,2018-04,prior,63,0.5,0.0,0.25217074162914327,0.49206349206349204,1.0,0.0,1.0,1.0,0.9523809523809523,21
AAPL,forward,2018-05,title,66,0.49440820130475305,-0.01114729533239837,0.24884666842086006,0.5,0.5405405405405406,0.4482758620689655,0.5454545454545454,1.0,1.0,22
AAPL,forward,2018-05,price,66,0.5535880708294502,0.10717614165890028,0.26539336966452426,0.5454545454545454,0.4864864864864865,0.6206896551724138,0.4393939393939394,1.0,1.0,22
AAPL,forward,2018-05,body,66,0.39841565703634674,-0.2040261425737572,0.30823211414564716,0.4090909090909091,0.4864864864864865,0.3103448275862069,0.5757575757575758,1.0,1.0,22
AAPL,forward,2018-05,semantic,66,0.5535880708294502,0.10717614165890028,0.26539336966452426,0.5454545454545454,0.4864864864864865,0.6206896551724138,0.4393939393939394,1.0,1.0,22
AAPL,forward,2018-05,joint_body,66,0.5153774464119292,0.030528125543633176,0.280603512956752,0.5151515151515151,0.5135135135135135,0.5172413793103449,0.5,1.0,1.0,22
AAPL,forward,2018-05,joint_semantic,66,0.5535880708294502,0.10717614165890028,0.26539336966452426,0.5454545454545454,0.4864864864864865,0.6206896551724138,0.4393939393939394,1.0,1.0,22
AAPL,forward,2018-05,static,66,0.5535880708294502,0.10717614165890028,0.26539336966452426,0.5454545454545454,0.4864864864864865,0.6206896551724138,0.4393939393939394,1.0,1.0,22
AAPL,forward,2018-05,gate,66,0.5535880708294502,0.10717614165890028,0.26539336966452426,0.5454545454545454,0.4864864864864865,0.6206896551724138,0.4393939393939394,1.0,1.0,22
AAPL,forward,2018-05,price_cal,66,0.559645852749301,0.11846652815860344,0.26047752626342535,0.5606060606060606,0.5675675675675675,0.5517241379310345,0.5151515151515151,1.0,1.0,22
AAPL,forward,2018-05,static_cal,66,0.559645852749301,0.11846652815860344,0.26047752626342535,0.5606060606060606,0.5675675675675675,0.5517241379310345,0.5151515151515151,1.0,1.0,22
AAPL,forward,2018-05,gate_cal,66,0.559645852749301,0.11846652815860344,0.26047752626342535,0.5606060606060606,0.5675675675675675,0.5517241379310345,0.5151515151515151,1.0,1.0,22
AAPL,forward,2018-05,selected_system,66,0.49440820130475305,-0.01114729533239837,0.24884666842086006,0.5,0.5405405405405406,0.4482758620689655,0.5454545454545454,1.0,1.0,22
AAPL,forward,2018-05,constant,66,0.5,0.0,0.25,0.5606060606060606,1.0,0.0,1.0,1.0,1.0,22
AAPL,forward,2018-05,prior,66,0.5,0.0,0.2474582257902104,0.5606060606060606,1.0,0.0,1.0,1.0,1.0,22
AAPL,forward,2018-06,title,63,0.4907407407407407,-0.018731716231633878,0.256047995943431,0.47619047619047616,0.3888888888888889,0.5925925925925926,0.3968253968253968,1.0,1.0,21
AAPL,forward,2018-06,price,63,0.43981481481481477,-0.12099437854561525,0.2828187893607408,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
AAPL,forward,2018-06,old_integrated,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.42857142857142855,0.5,0.3333333333333333,0.5714285714285714,1.0,1.0,21
AAPL,forward,2018-06,old_body,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.42857142857142855,0.5,0.3333333333333333,0.5714285714285714,1.0,1.0,21
AAPL,forward,2018-06,old_semantic,63,0.3935185185185185,-0.21080522784319533,0.2706153606868883,0.3968253968253968,0.4166666666666667,0.37037037037037035,0.5079365079365079,1.0,1.0,21
AAPL,forward,2018-06,body,63,0.43981481481481477,-0.12099437854561525,0.2828187893607408,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
AAPL,forward,2018-06,semantic,63,0.43981481481481477,-0.12099437854561525,0.2828187893607408,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
AAPL,forward,2018-06,joint_body,63,0.44907407407407407,-0.10112618056102679,0.3274608446378999,0.4444444444444444,0.4166666666666667,0.48148148148148145,0.4603174603174603,1.0,1.0,21
AAPL,forward,2018-06,joint_semantic,63,0.43981481481481477,-0.12099437854561525,0.2828187893607408,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
