group,symbol,month,method,C,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
S3,POOLED,2018-05,S3,0.01,131,0.5369047619047619,0.07365186711727469,0.24966024523315378,0.08092809494423125,0.4351145038167939,0.5725190839694656,False
S3,POOLED,2018-05,S3,0.1,131,0.4878571428571429,-0.024148117063403283,0.26269434858777885,0.10883590465273152,0.45038167938931295,0.5725190839694656,False
S3,POOLED,2018-05,S3,1.0,131,0.4854761904761905,-0.028761428629322447,0.2738749287706936,0.14310021077015217,0.5190839694656488,0.5725190839694656,False
S3,POOLED,2018-06,S3,0.01,126,0.5402631578947368,0.07960979398444398,0.2516932568056524,0.1304042456692764,0.42857142857142855,0.6031746031746031,False
S3,POOLED,2018-06,S3,0.1,126,0.5857894736842105,0.16925646972559708,0.2514177601634612,0.16291087914840557,0.5634920634920635,0.6031746031746031,False
S3,POOLED,2018-06,S3,1.0,126,0.5160526315789473,0.03181769156177548,0.25356693124858243,0.14081615480597998,0.5793650793650794,0.6031746031746031,False
S3,POOLED,2018-07,S3,0.01,120,0.5345268542199488,0.06993366376481873,0.2436286586482687,0.06737557619177939,0.6083333333333333,0.575,False
S3,POOLED,2018-07,S3,0.1,120,0.5805626598465473,0.1661092567877306,0.2410624825127145,0.04685279732912897,0.6416666666666667,0.575,False
S3,POOLED,2018-07,S3,1.0,120,0.5852514919011083,0.17879963496303788,0.24255182333682865,0.11047304801115088,0.6666666666666666,0.575,False
S3,POOLED,2018-08,S3,0.01,138,0.5805471124620061,0.16109422492401215,0.2361101008232298,0.1303064405536734,0.6594202898550725,0.6594202898550725,False
S3,POOLED,2018-08,S3,0.1,138,0.538344634089315,0.08010528779870857,0.22709242440268176,0.12309908796154964,0.7101449275362319,0.6594202898550725,False
S3,POOLED,2018-08,S3,1.0,138,0.6021744213233575,0.20543241801792417,0.22264769147484154,0.10542895185193478,0.6666666666666666,0.6594202898550725,False
